method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\full\metrics.json,4f77b27da5f55aa860887a186e4d4f96f5169bda65953598639e272da37eec7b,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\full\validation.json,True,True,qualified,full,12.78740739169573,12.788,2.8349552702708958,65.41362403462477,0.0,0.08016294249480575,0.022438703072314842,0.059071536337044005,8.562458574476591e-06,1.7924485152459872e-05,0.0012164660339921696,0.18615194400647542,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_shape\metrics.json,728e42db4cdc6aeb3defe00c4e80c4ee5ba09b04c355a6e5c04d2cf49a7cfeb5,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_shape\validation.json,True,False,unqualified,no-shape,12.78740739169573,12.788,2.8349552702708958,42126996.95988116,42126892.77906017,0.10150279328586517,0.03240785497716163,0.08727706759499092,0.17858416961384682,0.0008863733126848969,1.6931245516563704,0.10476431117316232,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_base_reaction\metrics.json,d38783baa0941a9bd999ee2607b692081b2bf59d8542e1a2101a2aa7f600d239,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.78740739169573,12.788,2.8349552702708958,65.42345898916099,0.0,0.0801690766123642,0.022414997691306313,0.05899085178270824,8.569504305027658e-06,1.792716406222017e-05,0.0013394233870034356,0.18619383741277418,0.0,0.007651475877804859
