method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\full\metrics.json,74607cf225ca51c0818f8759a902c3a3b7837d2a3a86ac618f9bb3ada493c89c,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\full\validation.json,True,True,qualified,full,12.797301895260375,12.798,2.8351223326267916,64.9371650039587,0.0,0.07986637897028168,0.022574118276143636,0.05903147638067309,8.549790327423256e-06,1.789416006821092e-05,0.0011238634968520067,0.18528864664241454,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_shape\metrics.json,c900d5802351795d1e00b78b751532508b25c08f5f66f09bf1e87bcc5031b1e3,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_shape\validation.json,True,False,unqualified,no-shape,12.797301895260375,12.798,2.8351223326267916,9616013.868269937,9615950.77266445,0.07870503502353768,0.02035579092510115,0.07962876537375309,0.006041146450759305,0.00037506436752302003,1.7266767485628307,0.12615323640070403,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_base_reaction\metrics.json,33e273a78f0c834c499097c7935449855a5c28fa12c666fdce6772f2f0dfb681,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.797301895260375,12.798,2.8351223326267916,65.00946891711651,0.0,0.07991163170115097,0.02254395087274574,0.05912355871782105,8.542842291671647e-06,1.789171262754807e-05,0.0010159743618665118,0.18474248719999076,0.0,0.05662846560125927
