method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Optimized,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_seed0_candidates_v2\candidate_01\metrics.json,0d150a81e74e309605f7241c6954cdd9ae5bff152ada2dd4126c65f6bd85b177,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_seed0_candidates_v2\candidate_01\validation.json,True,True,qualified,19.015553854117684,19.016000000000002,1.075144568985572,7.565547528080063,0.0,0.02731296097574631,0.008111808130815742,0.11533643990729717,4.2259837305689875e-06,3.6210677953437528e-06,1.4517781341982783e-05,0.11111071953901117,0.0,
Psi0,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_fixed_time_psi0_v2\metrics.json,780726a2fe0fb19916253915970fa33224c3d30d701f85a079bf89634a81bf56,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_fixed_time_psi0_v2\validation.json,True,False,unqualified,19.0155538541177,19.016000000000002,0.0,8297868.134413124,8297839.358624107,0.053544585263067504,0.011994594764544876,0.14987619865392113,0.01729905233146961,0.0015459092858151442,0.09219744795699958,0.03955158669948306,0.0,
PsiPi2,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_fixed_time_psipi2_v2\metrics.json,09bdec80462777d6c8e46817a6abbc868b92313e2e47c06e09094a8cce4ee475,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_fixed_time_psipi2_v2\validation.json,True,False,unqualified,19.0155538541177,19.016000000000002,1.5707963267949,79.0499516093551,1.051524710830698,0.08825692230990037,0.014639367183890783,0.10751591194528164,1.1085197987776142e-05,1.3003143732204543e-05,1.2114337102353545e-06,0.14505747167441033,0.0,
