method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\full\metrics.json,2d19bf26e6f36a152748c3866cfa82f6bb2454304d8c0d3034a798e6f7c2e36c,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\full\validation.json,True,True,qualified,full,12.962271726115004,12.962,2.846551222324965,65.66817020702415,0.0,0.08034166734097527,0.022152411555120568,0.06053403171876556,8.31495284740274e-06,1.732528807807996e-05,0.0011528511033884747,0.18574686655729836,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_shape\metrics.json,fb7261e9076442c41fe7babdba1559498798160c79736de510a948df29e522f8,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_shape\validation.json,True,False,unqualified,no-shape,12.962271726115004,12.962,2.846551222324965,23111668.777248096,23111607.58264575,0.0775075914020848,0.02781694606781577,0.09559930313865457,0.14162599943431883,0.0032539097300614615,0.7845428463638866,0.23032548437246952,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_base_reaction\metrics.json,19d2d99ff9995a4695763867fa934d7ee83171719167c6ac488c695d6b8f6fba,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.962271726115004,12.962,2.846551222324965,65.67568650841967,0.0,0.08034634491541902,0.02215138287807989,0.06055321054254113,8.313075913401765e-06,1.732451865584984e-05,0.0011195289543741715,0.18574938025914528,0.0,0.005821763825940257
