method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Joint,E:\桌面\力位形混合控制\output\fpmfc\precontact\n070_fixed_time_rk4_formal_planning45\full\metrics.json,cec4e34ea76708044234f7bb2eb711fe393e6044778c95421233a3905e6a9a85,E:\桌面\力位形混合控制\output\fpmfc\precontact\n070_fixed_time_rk4_formal_planning45\full\validation.json,True,True,qualified,full,8.0,8.0,-1.49287739906074,43.969009939608135,0.0,0.06460447094219293,0.030876176092205332,0.11468208853364122,4.555632282087504e-05,4.434888028686573e-05,0.01343979350530855,0.13477656518697145,0.0,
Fixed0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n070_fixed_time_rk4_formal_planning45\fixed0\metrics.json,53c2faa78379d822aa76b86bfe9d4cc45d22dd94608fecfc640498489e5494b2,E:\桌面\力位形混合控制\output\fpmfc\precontact\n070_fixed_time_rk4_formal_planning45\fixed0\validation.json,True,False,unqualified,full,8.0,8.0,0.0,34663407.102376424,34663175.654970385,0.15139873604274035,0.034980833995532416,0.12084476240372859,0.014248710780500691,0.00247807179581162,3.138826001674172,0.25562665421064307,0.0,
FixedPi2,E:\桌面\力位形混合控制\output\fpmfc\precontact\n070_fixed_time_rk4_formal_planning45\fixedpi2\metrics.json,2a950462e55857b18eccff76723d46b597e9269f908c106817c9bbfb3f2c1692,E:\桌面\力位形混合控制\output\fpmfc\precontact\n070_fixed_time_rk4_formal_planning45\fixedpi2\validation.json,True,False,unqualified,full,8.0,8.0,1.5707963267949,9915430.656787276,9915339.992466124,0.09403865581223353,0.041652252280118124,0.08501056896588635,0.06882891406002514,0.002239629822545748,0.14298786667467933,0.3020532575675586,0.0,
