method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\full\metrics.json,1534c672eb54521a36b94b8812d6275c9fe9e5596f0ce7eba07cfeaab4cbe9e8,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\full\validation.json,True,True,qualified,full,12.744248306183614,12.744,2.819841001966392,65.91450768666915,0.0,0.08046962661347984,0.022375547756308668,0.05855317575922507,8.651967456658309e-06,1.808412861046406e-05,0.001513454722311458,0.19052301626441417,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_shape\metrics.json,a303d81d1301c87d9fd077f6d90d9c083e2b1178fc0b7db4323e0a5a5b8dac62,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_shape\validation.json,True,False,unqualified,no-shape,12.744248306183614,12.744,2.819841001966392,9918646.08772902,9918582.41210919,0.07906625083832378,0.0194491766217278,0.07948658251176784,0.006082693042939319,0.0003836781962438985,1.7533978672093982,0.13453659915373392,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_base_reaction\metrics.json,4363480b2d9e92616c2e06539138132baa590ffae0f43160abc3780e6b926168,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.744248306183614,12.744,2.819841001966392,65.94013958354061,0.0,0.08048555147975311,0.022372131908942633,0.058622681882519664,8.64029948421796e-06,1.808003367178218e-05,0.0013188507683090656,0.19028917335266912,0.0,0.019785993859136167
