method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_00\full\metrics.json,d3f79b8ba118ad3ebbd5059bc695cfc462f47b1a51bc75919ec0d66d14bdd01b,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_00\full\validation.json,True,True,qualified,full,8.0,8.0,-1.492877399060744,43.96900993837448,0.0,0.06460447094123815,0.030876176098123882,0.11468208853370708,4.555632295623507e-05,4.434887856002758e-05,0.013439797359844796,0.13477656518600314,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_00\no_shape\metrics.json,89b39427ae87cfc5fd178470875e3cb360d3c370c75981ffbbe2a3b5cde19780,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_00\no_shape\validation.json,True,False,unqualified,no-shape,8.0,8.0,-1.492877399060744,53223.746513403334,53175.306290135915,0.0679769004773254,0.02330529101657783,0.07342595062959836,3.0776643501756904e-05,5.9805397863196884e-05,0.1447251456472909,0.23660098611827224,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_00\no_base_reaction\metrics.json,95954262bec8e98e2499ecaddd641aa2162adc14a303653a59222af5c662dd86,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_00\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,8.0,8.0,-1.492877399060744,43.922319142499774,0.0,0.0645683249435032,0.030868269766615962,0.1146780117607517,4.5466822830878453e-05,4.4620094665757204e-05,0.012900930374055264,0.13473706465633106,0.0,-0.05598100580521332
