method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_01\full\metrics.json,42232156c69f9f8f3c5819e588abba5426f72d5367793948cd976787c217ed8d,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_01\full\validation.json,True,True,qualified,full,12.559110859785916,12.56,2.8186331817200623,64.12679711487856,0.0,0.0793291012641148,0.022611821314410377,0.056681696934225284,8.942495356589215e-06,1.876125838146769e-05,0.001445560796754286,0.1902383802040255,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_01\no_shape\metrics.json,4340ce36a48c761da02a8f1ab1fd1dc4e7d1380c7907e060edbdd980fe83275e,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_01\no_shape\validation.json,True,False,unqualified,no-shape,12.559110859785916,12.56,2.8186331817200623,10317645.168338483,10317581.174125068,0.07924549159019321,0.018468064295503912,0.07918315037967591,0.005632289341409172,0.0003711537219544143,1.7884356310153438,0.15175934993613957,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_01\no_base_reaction\metrics.json,3c64db87109a9c46cd1b817dc9e404270d9c99c63e53b8000e9b031af62a45a0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_01\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.559110859785916,12.56,2.8186331817200623,64.31024760177222,0.0,0.07944464334403929,0.022644875540448244,0.05656106849142915,8.978196699426779e-06,1.8772456726898796e-05,0.0020135637703768694,0.1910476579175523,0.0,0.14543721900057208
