seed,kinematic_rank,variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,acceptance_passed,replay_integrity_passed,qualified,failed_acceptance_checks,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,metrics_path,metrics_sha256,validation_path,validation_sha256,seed_contract_passed
3,1,no-shape,12.797301895260375,12.798,2.8351223326267916,False,True,False,"['terminal_position_error', 'terminal_shape_error']",0.07870503502353768,0.02035579092510115,0.07962876537375309,0.006041146450759305,0.00037506436752302003,1.7266767485628307,0.12615323640070403,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_shape\metrics.json,c900d5802351795d1e00b78b751532508b25c08f5f66f09bf1e87bcc5031b1e3,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_shape\validation.json,077683bcfce16a212dcbac5b3a1efff59c96f4ee72906bcaaaf4971b5ba9fd28,True
3,1,no-base-reaction,12.797301895260375,12.798,2.8351223326267916,True,True,True,[],0.07991163170115097,0.02254395087274574,0.05912355871782105,8.542842291671647e-06,1.789171262754807e-05,0.0010159743618665118,0.18474248719999076,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_base_reaction\metrics.json,33e273a78f0c834c499097c7935449855a5c28fa12c666fdce6772f2f0dfb681,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_03\no_base_reaction\validation.json,0c7f1a0c8634b8b3bce754ce534a968c43bec7127052457f753d2da0bfac05eb,True
4,1,full,12.78740739169573,12.788,2.8349552702708958,True,True,True,[],0.08016294249480575,0.022438703072314842,0.059071536337044005,8.562458574476591e-06,1.7924485152459872e-05,0.0012164660339921696,0.18615194400647542,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\full\metrics.json,4f77b27da5f55aa860887a186e4d4f96f5169bda65953598639e272da37eec7b,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\full\validation.json,7ae76db23ebe807a32272151f0c66f9c6423e6d860b1821da864cca390c467b7,True
4,1,no-shape,12.78740739169573,12.788,2.8349552702708958,False,True,False,"['terminal_position_error', 'terminal_shape_error', 'terminal_linear_speed', 'terminal_angular_speed']",0.10150279328586517,0.03240785497716163,0.08727706759499092,0.17858416961384682,0.0008863733126848969,1.6931245516563704,0.10476431117316232,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_shape\metrics.json,728e42db4cdc6aeb3defe00c4e80c4ee5ba09b04c355a6e5c04d2cf49a7cfeb5,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_shape\validation.json,8d4fbf29058a6da7dd3811cf186767d7ff3b48b91f86a24be2ce7bdab66b7e3b,True
4,1,no-base-reaction,12.78740739169573,12.788,2.8349552702708958,True,True,True,[],0.0801690766123642,0.022414997691306313,0.05899085178270824,8.569504305027658e-06,1.792716406222017e-05,0.0013394233870034356,0.18619383741277418,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_base_reaction\metrics.json,d38783baa0941a9bd999ee2607b692081b2bf59d8542e1a2101a2aa7f600d239,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_04\no_base_reaction\validation.json,11d3f895f70d788b927572e9c97e511f895dc8b730e805ec5205684ac7fed09e,True
5,1,full,13.199007887472238,13.200000000000001,2.875899929585624,True,True,True,[],0.07732448017868991,0.022856270094377792,0.06317904693552527,7.986051445995997e-06,1.655053114706794e-05,0.0006715150917573354,0.16855079906285145,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\full\metrics.json,1c3390e281f08778a7509f7d59e9c1f45721933d3a9a0407aef9a8de0d7b8e29,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\full\validation.json,b771d9c96f0c7fcacc4725471d5f3913a4976ce8b27cdfadd9fc741d1b35610f,True
5,1,no-shape,13.199007887472238,13.200000000000001,2.875899929585624,False,True,False,"['terminal_position_error', 'terminal_shape_error', 'terminal_linear_speed', 'terminal_angular_speed']",0.07436039800803228,0.018704822307151966,0.09027249505887557,0.15211625130290904,0.0017559218578823625,1.7960509261516604,0.19693926914868456,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_shape\metrics.json,b172eda3c896f661a41fcbe676e6b8d1a8b028b5f3e6e148f549f8a95d44a477,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_shape\validation.json,fd807078106354a5457f628bf74baa0530cbe12148ba36da73ff3a7ba8e67396,True
5,1,no-base-reaction,13.199007887472238,13.200000000000001,2.875899929585624,True,True,True,[],0.07732293614412845,0.022846487281153748,0.06316782253610502,7.985558208593055e-06,1.6550427537985293e-05,0.0006680499838647158,0.16864546099462835,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_base_reaction\metrics.json,e9f2cfc984a17c4f15beb698f3118bfdb4df5aa2b330210f0ea939b97aa70a15,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_base_reaction\validation.json,7aae77ea3ecc992f53f53772ae71f114d9d7ef5ce9fb33a807e8a9f0e7622e9b,True
6,1,full,13.320103974692323,13.32,2.897406507648267,True,True,True,[],0.07981707971273722,0.021661870606185823,0.06385325717943013,7.842233801787818e-06,1.6180079467971003e-05,0.0005665199655027209,0.1823639507051108,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\full\metrics.json,1a35bf47ed49997e241e6d9c74afbe813833f82833da849048ab7e56b4879393,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\full\validation.json,4fb1881dffa47efe1dc50e02320bdc0520d67a747652423e5d80579e66060ebd,True
6,1,no-shape,13.320103974692323,13.32,2.897406507648267,False,True,False,"['terminal_position_error', 'terminal_orientation_error', 'terminal_shape_error', 'terminal_linear_speed', 'terminal_angular_speed']",0.07133065268403019,0.01795592161868417,0.08659838856402734,0.16177807142460807,0.004587717291257041,1.47765462371245,0.2031249336956147,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_shape\metrics.json,893d856c5967e86c1c1a05a563c80c2ce2ca79e97073cc713496e8a324dbc6f3,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_shape\validation.json,a302ef89becedbc17a6d195ffd976adb292557660ff4d8da28a4df29cb26ab4f,True
