method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\full\metrics.json,48d3de348adab978ab5c16f2d036a28b6eb802d45cdc27a1d8437dce6933eed4,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\full\validation.json,True,True,qualified,full,12.408726280462089,12.408,2.786538400916744,67.80900599620058,0.0,0.08159907100159336,0.022753195721332276,0.05563140284974584,9.242011770480853e-06,1.9349070855733865e-05,0.0016745862238916054,0.2068545479327899,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_shape\metrics.json,8b9a09a4833f8a548a5b7ccad8244e9d11107c4d2720276847876941546e9813,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_shape\validation.json,True,False,unqualified,no-shape,12.408726280462089,12.408,2.786538400916744,10887795.061947146,10887728.558615588,0.08079505519880842,0.016998012161679694,0.07938470700474107,0.004800465616975816,0.0003259674402431567,1.8373961562685448,0.16972170852658955,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_base_reaction\metrics.json,4540e46b1005af2c6880b9a1e8f5b23f5e228d91621a61b1a34dae04471fdc11,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.408726280462089,12.408,2.786538400916744,67.73328245101541,0.0,0.08155265804254688,0.022745140526330084,0.05558005894847882,9.254943958889892e-06,1.9353183098419716e-05,0.0018929934238185453,0.204821311217547,0.0,-0.05691164477099283
