method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_02\full\metrics.json,f5c52bf989ba1debf0f913bf4cee2877fb09872af0b7deffea123c15ba527981,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_02\full\validation.json,True,True,qualified,full,12.815344915385959,12.816,2.829958672400292,64.20217356724697,0.0,0.07940702499119823,0.0223625683651363,0.058839030450326915,8.514459250126553e-06,1.783221203389497e-05,0.001103623179084412,0.1872595392729466,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_02\no_shape\metrics.json,cecc75a05dc3fdae08e79ffc1676e2aa4c021ba7c99d0d8e70bc438209f08c89,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_02\no_shape\validation.json,True,False,unqualified,no-shape,12.815344915385959,12.816,2.829958672400292,9626586.500454703,9626524.909168417,0.07774565511961509,0.023242906176403313,0.08137451796481515,0.005529946109944674,0.00034105055655609263,1.7280544454659985,0.11029779125611573,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_02\no_base_reaction\metrics.json,0e57b99d5e9432d2f619eaec38167316e6b9037b0a5cfde8d8f9d04d54a5a918,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_02\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,12.815344915385959,12.816,2.829958672400292,64.3229731278111,0.0,0.07948305211810398,0.02237802061145401,0.058832467005783734,8.519503374023956e-06,1.7833984827535074e-05,0.0011830879564809216,0.18793107469720366,0.0,0.09565199735006057
