method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\full\metrics.json,1a35bf47ed49997e241e6d9c74afbe813833f82833da849048ab7e56b4879393,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\full\validation.json,True,True,qualified,full,13.320103974692323,13.32,2.897406507648267,64.76304475421942,0.0,0.07981707971273722,0.021661870606185823,0.06385325717943013,7.842233801787818e-06,1.6180079467971003e-05,0.0005665199655027209,0.1823639507051108,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_shape\metrics.json,893d856c5967e86c1c1a05a563c80c2ce2ca79e97073cc713496e8a324dbc6f3,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_shape\validation.json,True,False,unqualified,no-shape,13.320103974692323,13.32,2.897406507648267,35699885.24937637,35699833.31337363,0.07133065268403019,0.01795592161868417,0.08659838856402734,0.16177807142460807,0.004587717291257041,1.47765462371245,0.2031249336956147,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_base_reaction\metrics.json,77d12d88eab1704e89e6268392e55ab0bf2a4635a1586ccbefa02e42de6064ea,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,13.320103974692323,13.32,2.897406507648267,62.316587855342306,0.0,0.0782695376502388,0.021936578504141463,0.06450496714278758,7.844550962229919e-06,1.6179554379904032e-05,0.0005116142280425784,0.17437243583454404,0.0,-1.9771958656685646
