method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,controller_variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
Full,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\full\metrics.json,1c3390e281f08778a7509f7d59e9c1f45721933d3a9a0407aef9a8de0d7b8e29,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\full\validation.json,True,True,qualified,full,13.199007887472238,13.200000000000001,2.875899929585624,60.86767651558044,0.0,0.07732448017868991,0.022856270094377792,0.06317904693552527,7.986051445995997e-06,1.655053114706794e-05,0.0006715150917573354,0.16855079906285145,0.0,
No shape,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_shape\metrics.json,b172eda3c896f661a41fcbe676e6b8d1a8b028b5f3e6e148f549f8a95d44a477,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_shape\validation.json,True,False,unqualified,no-shape,13.199007887472238,13.200000000000001,2.875899929585624,35660498.49401724,35660442.12240516,0.07436039800803228,0.018704822307151966,0.09027249505887557,0.15211625130290904,0.0017559218578823625,1.7960509261516604,0.19693926914868456,0.0,
No base reaction,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_base_reaction\metrics.json,e9f2cfc984a17c4f15beb698f3118bfdb4df5aa2b330210f0ea939b97aa70a15,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_05\no_base_reaction\validation.json,True,True,qualified,no-base-reaction,13.199007887472238,13.200000000000001,2.875899929585624,60.86528870602418,0.0,0.07732293614412845,0.022846487281153748,0.06316782253610502,7.985558208593055e-06,1.6550427537985293e-05,0.0006680499838647158,0.16864546099462835,0.0,-0.0019968648869967496
