method,metrics_path,metrics_sha256,validation_path,replay_integrity_passed,acceptance_passed,qualification,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,dynamic_objective,constraint_penalty,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,base_angular_velocity_improvement_vs_baseline_percent
JointOptimized,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_joint_best_v3\candidate_01\metrics.json,526b84d152d313879400c8da51b03d3208c21dfc68bc55c86338727e212ca4b4,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_joint_best_v3\candidate_01\validation.json,True,True,qualified,19.015553854117684,19.016000000000002,1.075144568985572,7.570137727549744,0.0,0.027321362652184225,0.008111689019549178,0.11533686846247247,2.318289266318216e-06,3.6107138673707057e-06,1.451006819053191e-05,0.11111227617371286,0.0,
FixedPsi0,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_fixed0_best_v3\candidate_01\metrics.json,5af867269c644673ac457b4161d2a4bc89b7637c66cc52cb2bfd07a6a9478408,E:\桌面\力位形混合控制\output\fpmfc\precontact\smoke_fixed0_best_v3\candidate_01\validation.json,True,True,qualified,9.6630617825272,9.664,0.0,11.595255838459144,0.0,0.03179702271715399,0.01926424299576946,0.14841172318248677,1.4106972496510148e-05,1.5114504250950636e-05,0.000308515313293789,0.11918467026381013,0.0,14.075720562841305
